REG_Number,Department,Graduation_Year,CGPA,Internship,Internship_Months,Projects_Count,Certifications_Count,Python_Skill,SQL_Skill,DSA_Skill,DBMS_Skill,OOP_Skill,Computer_Networks_Skill,Operating_Systems_Skill,Web_Development_Skill,Cloud_Computing_Skill,Machine_Learning_Skill,Communication_Skill,Problem_Solving_Skill,Industry_Python_Required,Industry_SQL_Required,Industry_DSA_Required,Industry_DBMS_Required,Industry_OOP_Required,Industry_Computer_Networks_Required,Industry_Operating_Systems_Required,Industry_Web_Development_Required,Industry_Cloud_Computing_Required,Industry_Machine_Learning_Required,Industry_Communication_Required,Industry_Problem_Solving_Required,Python_Gap,SQL_Gap,DSA_Gap,DBMS_Gap,OOP_Gap,Computer_Networks_Gap,Operating_Systems_Gap,Web_Development_Gap,Cloud_Computing_Gap,Machine_Learning_Gap,Communication_Gap,Problem_Solving_Gap,Overall_Skill_Gap,Skill_Alignment_Percentage,Placement_Status,event_timestamp
231FA04001,CSE,2027,7.78,No,0,5,3,6.2,4.7,8,9.2,7.8,4.7,7.1,6.8,7.6,6,6.7,5.3,8,8,9,7,7,7,7,7,7,7,9,8,1.8,3.3,1,0,0,2.3,0,0.2,0,1,2.3,2.7,1.22,87.8,Placed,2026-01-01 00:00:00
231FA04002,CSE-DS,2027,6.65,Yes,8,1,3,6.9,4.9,7.1,5.7,2.7,7.6,7.2,8.3,4,5.8,6.8,7.3,9,9,8,7,8,6,8,7,7,7,8,9,2.1,4.1,0.9,1.3,5.3,0,0.8,0,3,1.2,1.2,1.7,1.8,82,Placed,2026-01-01 06:00:00
231FA04003,CSE-AIML,2027,7.94,Yes,10,4,2,5.3,7.7,6.4,4.8,6.2,7.8,4.9,7.9,7.5,6.8,5.1,5.2,8,7,8,7,8,7,7,7,7,7,8,7,2.7,0,1.6,2.2,1.8,0,2.1,0,0,0.2,2.9,1.8,1.28,87.2,Placed,2026-01-01 12:00:00
231FA04004,CSE-AIML,2027,8.11,Yes,3,2,2,6.4,5.5,6.5,8.1,6.6,6.5,6.5,8.2,8.5,7.4,7.1,7.2,8,8,8,7,8,8,7,7,6,7,9,7,1.6,2.5,1.5,0,1.4,1.5,0.5,0,0,0,1.9,0,0.91,90.9,Placed,2026-01-01 18:00:00
231FA04005,CSE,2027,8.07,Yes,2,3,4,9,7.8,9.1,6.7,5.5,6.4,6.5,9.2,8.1,6.4,8.2,7,8,7,8,7,7,6,8,7,6,7,7,8,0,0,0,0.3,1.5,0,1.5,0,0,0.6,0,1,0.41,95.9,Not Placed,2026-01-02 00:00:00
231FA04006,CSE,2027,8.46,Yes,10,5,4,9.6,7.1,5.6,7.3,7.1,5.8,8.2,9.3,6.1,8.7,6.8,7.5,8,8,8,6,8,7,6,6,8,7,8,9,0,0.9,2.4,0,0.9,1.2,0,0,1.9,0,1.2,1.5,0.83,91.7,Placed,2026-01-02 06:00:00
231FA04007,CSE,2027,8.28,Yes,4,5,1,7.1,7.2,7.8,6,8.9,7.9,8.3,6.3,5.8,8.7,5.8,7.4,8,8,9,7,8,7,7,7,7,7,9,9,0.9,0.8,1.2,1,0,0,0,0.7,1.2,0,3.2,1.6,0.88,91.2,Placed,2026-01-02 12:00:00
231FA04008,CSE-DS,2027,7.99,Yes,5,5,3,8.6,7.2,8.8,7,5.7,7.8,7.6,10,6.2,7,6.4,7.2,9,8,7,7,9,8,7,7,8,8,8,8,0.4,0.8,0,0,3.3,0.2,0,0,1.8,1,1.6,0.8,0.82,91.8,Placed,2026-01-02 18:00:00
231FA04009,CSE-AIML,2027,7.6,Yes,12,2,2,6.6,5.7,7.4,6.6,8.5,6,9.1,7.2,8.4,7,5.8,6.5,8,9,8,8,7,7,8,7,6,8,8,8,1.4,3.3,0.6,1.4,0,1,0,0,0,1,2.2,1.5,1.03,89.7,Not Placed,2026-01-03 00:00:00
231FA04010,CSE-AIML,2027,6.4,Yes,2,5,4,5.4,7,7.3,7.2,8.8,6.9,4.7,10,6.2,8.3,5.2,7.4,8,8,9,7,7,7,6,7,7,7,8,8,2.6,1,1.7,0,0,0.1,1.3,0,0.8,0,2.8,0.6,0.91,90.9,Placed,2026-01-03 06:00:00
